"Taxon","Coefficient","P_value","Theta","AIC"
"OTU_49",0.0190445672147345,0.835168946634866,4.88599734329144,1188.49588271202
"OTU_50",0.0143741719766463,0.858876934438293,6.31602240273567,1154.73760041292
"OTU_43",-0.103280113512389,0.37811996507317,3.08723152475683,948.472703577296
"OTU_44",-0.120372273278265,0.405727964534359,1.98273368502792,973.26611710914
"OTU_46",0.116117756337321,0.373772968183223,2.46035603831179,960.876411769841
"OTU_45",0.0106080146121918,0.9309885189636,2.81919496506728,944.123801679099
"OTU_47",-0.0439586073722087,0.73861296293124,2.41953818311718,952.75280504274
"OTU_42",-0.290840036296476,0.0490960145791329,1.90828357417329,953.853518411613
"OTU_48",-0.0324774160099831,0.808974843263983,2.32801700393575,944.531266601718
"OTU_41",-0.213068638491785,0.145108987918702,1.95075451197643,952.931406050639
